idPiloto	u1	u2	u3	u4	u5	u6	u7	u8	tipoA	tipoB
1	20	9	12	3	15	16	12	14	0	1
2	1	10	4	22	21	6	22	14	1	0
3	15	13	12	13	15	9	10	13	1	1
4	7	2	17	14	9	19	15	19	1	1
5	5	20	16	21	2	29	8	0	1	0
6	10	19	10	7	23	15	2	15	0	1
7	10	14	11	4	5	22	20	14	1	0
8	10	18	12	14	10	12	8	17	1	1
9	6	6	12	9	19	20	12	17	1	0
10	18	5	23	11	0	18	1	24	0	1
11	7	2	17	7	15	23	22	8	1	1
12	5	6	23	18	14	11	15	7	1	0
13	13	9	16	11	13	14	5	19	0	1
14	17	3	23	3	7	21	12	15	1	1
15	12	13	20	13	9	17	11	6	1	0
16	18	2	16	20	11	15	16	3	0	1
17	8	9	20	7	19	14	7	17	1	1
18	14	15	18	3	15	16	1	17	1	1
19	2	5	17	14	18	23	21	0	0	1
20	15	3	3	7	21	16	16	19	1	0
21	20	22	2	11	18	13	1	14	1	1
22	8	7	19	13	13	19	19	2	1	1
23	23	3	20	20	2	7	13	11	1	1
24	18	5	17	9	14	17	3	17	1	0
